kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,statistics.likeCount,snippet.defaultAudioLanguage
youtube#video,OQqpfXHfbGygZhZgj9C9YTjMXuc,3iq9o09djU4,2020-07-16T00:45:59Z,UChjDtGelMNkllI5S22oO_aA,Amber Heard Allegedly 'Stealing and Twisting' Ex-Assistant's Sexual Assault Ordeal,"Amber Heard Allegedly 'Stealing and Twisting' Ex-Assistant's Sexual Assault Ordeal..
https://www.youtube.com/channel/UChjDtGelMNkllI5S22oO_aA?sub_confirmation=1
 The 'Aquaman' actress allegedly stole her former assistant's sexual violence experience and twisted it into 'her own story to benefit herself' during her bitter split from Johnny Depp.   Jul 16, 2020   AceShowbiz - Actress Amber Heard has been accused of lifting her former assistant's sexual violence experience and making it her own in her legal battle against ex-husband Johnny Depp.    Kate James appeared in London's High Court via a video link from Los Angeles on Wednesday (15Jul20), and claimed she was stunned after discovering details of Heard's alleged clashes with Depp mirrored aspects of her own past, which she had once shared with her old boss.         ""Much to my utter shock and dismay, I discovered that Ms. Heard had in fact stolen my sexual violence conversation with her and twisted it into her own story to benefit herself,"" she said, according to Britain's Sky News.    ""This of course caused me extreme distress and outrage that she would dare to attempt to use the most har ...",https://i.ytimg.com/vi/3iq9o09djU4/default.jpg,120,90,https://i.ytimg.com/vi/3iq9o09djU4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3iq9o09djU4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3iq9o09djU4/sddefault.jpg,640.0,480.0,Myra Lamb,"['Amber Heard', 'Johnny Depp Libel Trial']",22,none,Amber Heard Allegedly 'Stealing and Twisting' Ex-Assistant's Sexual Assault Ordeal,"Amber Heard Allegedly 'Stealing and Twisting' Ex-Assistant's Sexual Assault Ordeal..
https://www.youtube.com/channel/UChjDtGelMNkllI5S22oO_aA?sub_confirmation=1
 The 'Aquaman' actress allegedly stole her former assistant's sexual violence experience and twisted it into 'her own story to benefit herself' during her bitter split from Johnny Depp.   Jul 16, 2020   AceShowbiz - Actress Amber Heard has been accused of lifting her former assistant's sexual violence experience and making it her own in her legal battle against ex-husband Johnny Depp.    Kate James appeared in London's High Court via a video link from Los Angeles on Wednesday (15Jul20), and claimed she was stunned after discovering details of Heard's alleged clashes with Depp mirrored aspects of her own past, which she had once shared with her old boss.         ""Much to my utter shock and dismay, I discovered that Ms. Heard had in fact stolen my sexual violence conversation with her and twisted it into her own story to benefit herself,"" she said, according to Britain's Sky News.    ""This of course caused me extreme distress and outrage that she would dare to attempt to use the most har ...",PT4M56S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,246,0,1,,,,,
youtube#video,5oJrksz1or3S_IkmwPoPAKxNI0s,9xIpzs-BFGw,2020-08-28T07:51:40Z,UCAk03rcNVtLK1_LlgRTOh2w,Amber Heard v Johnny Depp | Heard Demands Depp To Prove It In Legal Response,"The Amber Heard v Johnny Depp trial will soon take place and Heard demands that Depp prove each allegation of hers is false or that his is factual in her legal response to Johnny Depp's suit against her.

Thanks for watching!!

Hit that Subscribe Button for more News & Entertainment.

Any extra support for the channel would be awesome, patreon is below but hey i'm gonna create videos for you no matter what.
https://www.patreon.com/user?u=21166375

Have an awesome day!

Let’s connect:

Instagram – Stevie_j_Reviews

Twitter - https://twitter.com/StevieJReviews

THANKS FOR WATCHING!!
#AmberHeard #JusticeForJohnnyDepp #HeardDepp2021",https://i.ytimg.com/vi/9xIpzs-BFGw/default.jpg,120,90,https://i.ytimg.com/vi/9xIpzs-BFGw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9xIpzs-BFGw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/9xIpzs-BFGw/sddefault.jpg,640.0,480.0,Stevie J Raw,"['stevie j raw', 'johnny depp', 'johnny depp amber heard', 'amber heard', 'elon musk', 'elon musk amber heard', 'amber heard elon musk', 'johnny depp elon musk', 'media', 'johnny depp abuse', 'amber heard johnny depp', 'amber heard aquaman', 'pirates of the caribbean', 'johnny depp vs amber heard', 'johnny depp defamation', 'elon musk challenges johnny depp', 'amber heard deposition', 'amber heard lies', 'johnny depp amber heard fight', 'johnny depptmz', 'Amber Heard v Johnny Depp | Heard Demands Depp To Prove It']",24,none,Amber Heard v Johnny Depp | Heard Demands Depp To Prove It In Legal Response,"The Amber Heard v Johnny Depp trial will soon take place and Heard demands that Depp prove each allegation of hers is false or that his is factual in her legal response to Johnny Depp's suit against her.

Thanks for watching!!

Hit that Subscribe Button for more News & Entertainment.

Any extra support for the channel would be awesome, patreon is below but hey i'm gonna create videos for you no matter what.
https://www.patreon.com/user?u=21166375

Have an awesome day!

Let’s connect:

Instagram – Stevie_j_Reviews

Twitter - https://twitter.com/StevieJReviews

THANKS FOR WATCHING!!
#AmberHeard #JusticeForJohnnyDepp #HeardDepp2021",PT1H42M15S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,2607,0,52,https://i.ytimg.com/vi/9xIpzs-BFGw/maxresdefault.jpg,1280.0,720.0,223,
youtube#video,P4-O2lPEkttlAacmkfTrvAwC09o,AqW2k3ggO58,2021-12-12T14:04:49Z,UCQW62Nq45DuwUgr-Nh2qb0g,Is Your Computer safe?,"IG is the_amber_channel. Feel free to leave me a dm or hit the follow button.
Twitter is:  The Amber Channel @asmrreadings

This is a no BS zone.  BS will get shut out and shut down quickly.  I promote facts and some ""IMO's"" that not everyone may like or even agree with.

I invite everyone to chat freely during lives but be respectful of others and their feelings.  Speak as you would want someone to speak to you.  Old school rule:  You don't have anything nice to say, don't say anything at all.  I'm a Texas girl through and through.  If you like realness, no bs, and actual content... hit that subscribe button and the ALL notification bell. 

If you like drama all day... every day and no content.... I won't be the channel for you.  

If you like content with the occasional drama mixed in.... feel free to subscribe and tune in when the content fits you like a shoe.

All are welcome!  All opinions matter as long as they are respectful to myself and other's in chat.


Thanks, 
Amber",https://i.ytimg.com/vi/AqW2k3ggO58/default.jpg,120,90,https://i.ytimg.com/vi/AqW2k3ggO58/mqdefault.jpg,320,180,https://i.ytimg.com/vi/AqW2k3ggO58/hqdefault.jpg,480,360,,,,The Amber Channel,,24,none,Is Your Computer safe?,"IG is the_amber_channel. Feel free to leave me a dm or hit the follow button.
Twitter is:  The Amber Channel @asmrreadings

This is a no BS zone.  BS will get shut out and shut down quickly.  I promote facts and some ""IMO's"" that not everyone may like or even agree with.

I invite everyone to chat freely during lives but be respectful of others and their feelings.  Speak as you would want someone to speak to you.  Old school rule:  You don't have anything nice to say, don't say anything at all.  I'm a Texas girl through and through.  If you like realness, no bs, and actual content... hit that subscribe button and the ALL notification bell. 

If you like drama all day... every day and no content.... I won't be the channel for you.  

If you like content with the occasional drama mixed in.... feel free to subscribe and tune in when the content fits you like a shoe.

All are welcome!  All opinions matter as long as they are respectful to myself and other's in chat.


Thanks, 
Amber",PT49M28S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1548,0,6,,,,,en-US
youtube#video,HBPdb4B4W4FShwUpUvzMz4irAtU,K_C4M7UQcbc,2021-01-30T14:49:13Z,UCeooMl4PFAM9kLPHvavt2KQ,Amber Heard LIED About Having Hair Pulled Out! Faked Photos!,Amber Heard LIED About Having Hair Pulled Out! Faked Photos!,https://i.ytimg.com/vi/K_C4M7UQcbc/default.jpg,120,90,https://i.ytimg.com/vi/K_C4M7UQcbc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/K_C4M7UQcbc/hqdefault.jpg,480,360,https://i.ytimg.com/vi/K_C4M7UQcbc/sddefault.jpg,640.0,480.0,eHacker,"['amber heard', 'amber heard and johnny depp', 'johnny depp', 'johnny depp amber heard', 'amber heard instagram', 'amber heard twitter', 'amber heard aquaman 2', 'amber heard mera', 'amber heard aquaman', 'johnny depp dior', 'johnny depp fantastic beasts', 'johnny depp vs the sun']",24,none,Amber Heard LIED About Having Hair Pulled Out! Faked Photos!,Amber Heard LIED About Having Hair Pulled Out! Faked Photos!,PT5M1S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,3013,0,295,https://i.ytimg.com/vi/K_C4M7UQcbc/maxresdefault.jpg,1280.0,720.0,706,
youtube#video,oQfpxXjpBCc787ngR4mZ0JjLdcU,L7K5zKApn-I,2016-05-29T15:33:53Z,UC2bZGZUuv5CE7ZqJy0lm9Jw,CWEB.com -Amber Heard Judge Grants Actress Temporary Restraining Order Against Johnny Depp.Exclusive,"CWEB.com - Celebrity Amber Heard filed a domestic violence restraining order against Johnny Depp that includes a photo of an attack, which she reportedly alleges was not an isolated event. The couple has been married for 15 months. I truly hope that the allegations against Mr. Depp are false because it would be sad to see such a talented actor behave in such a manner. But I also hope that Ms. Heard is not lying about the verbal abuse because it will make it harder for victims of domestic violence to come forward. Either way nobody wins. Stay tuned for more reports and news and to find out if this rummors are true or not.

Get a chance to win a free movie or a concert ticket when you vote for the celebrity or movie we review on http://www.CWEB.com",https://i.ytimg.com/vi/L7K5zKApn-I/default.jpg,120,90,https://i.ytimg.com/vi/L7K5zKApn-I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/L7K5zKApn-I/hqdefault.jpg,480,360,https://i.ytimg.com/vi/L7K5zKApn-I/sddefault.jpg,640.0,480.0,C WEB,,25,none,CWEB.com -Amber Heard Judge Grants Actress Temporary Restraining Order Against Johnny Depp.Exclusive,"CWEB.com - Celebrity Amber Heard filed a domestic violence restraining order against Johnny Depp that includes a photo of an attack, which she reportedly alleges was not an isolated event. The couple has been married for 15 months. I truly hope that the allegations against Mr. Depp are false because it would be sad to see such a talented actor behave in such a manner. But I also hope that Ms. Heard is not lying about the verbal abuse because it will make it harder for victims of domestic violence to come forward. Either way nobody wins. Stay tuned for more reports and news and to find out if this rummors are true or not.

Get a chance to win a free movie or a concert ticket when you vote for the celebrity or movie we review on http://www.CWEB.com",PT1M11S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,57,0,0,,,,0,
youtube#video,YX55s7UECaCYx9C8R94rdKoAS2M,lERvxutBTp4,2016-05-27T17:33:11Z,UChFX1tLtuNBvG4PSCM6d-Nw,Amber Heard Accuses Johnny Depp Of Smashing IPhone Into Her Face,"In court today, Amber has accused Johnny of using her phone as a weapon, TMZ reports. The actress “claims Depp smashed his iPhone on her face”, and that “the pic was taken shortly after she was allegedly struck”. As you can see in the pic, the red bruising around Amber’s eye and cheek is shaped like a rectangle, and is roughly the size of an imprint that an iPhone would leave behind.

Along with her lawyer, Samantha Spector, Amber showed up in court today to ask for a temporary restraining order against Johnny. Most shocking of all is that Amber is claiming this alleged abuse has happened multiple times throughout their relationship since they were married in 2015.

Amber is also claiming that Johnny “offered her money to stay quiet” after he allegedly hit her, and now she’s filing for the restraining order on the grounds that there’s “an immediate threat of harm”. Meanwhile, Johnny has been traveling out of town since Wednesday to promote his new movie, Alice Through The Looking Glass, which opens today. As a result, Johnny was represented by Laura Wassar during Amber’s court appearance.

Keep checking back to HollywoodLife.com for up-to-the-minute details as this story develops.

Stream music, completely unlimited and ad-free, RIGHT HERE

HollywoodLifers, are you proud of Amber for coming forward and standing up for herself in this horrible situation?

More Johnny & Amber News:
 Johnny Depp: Amber Heard's Lesbian Friends Put Marriage ‘On The Rocks’ -- Report
 Johnny Depp Disses Amber Heard In Statement : I Hope 'Short Marriage' Is 'Resolved Quickly'
 Johnny Depp & Amber Heard: His Emotional Spirals & Late Nights Out Destroyed Marriage",https://i.ytimg.com/vi/lERvxutBTp4/default.jpg,120,90,https://i.ytimg.com/vi/lERvxutBTp4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/lERvxutBTp4/hqdefault.jpg,480,360,,,,Hollywood Life Tube,"['spears', 'jamie lynn spears', 'jamie', 'music', 'lynn', 'britney', 'jamie lynn', 'country', 'want', 'performance', 'how', 'could', 'jamie-lynn sigler', 'britney spears', 'official', 'video', 'official music video', 'sports', 'shotgun', 'wedding', 'concerts', 'sketch', 'spoof', 'scientology', 'hilton', 'perez', 'gossip', 'paparazzi', 'tmz', 'neighbor', 'good', 'pregnancy', 'pregnant', 'multiple sclerosis', 'jamie-lynn sigler today show', 'jamie-lynn sigler ms', 'jamie-lynn sigler interview', 'shopping', 'pets', '(lyric']",22,none,Amber Heard Accuses Johnny Depp Of Smashing IPhone Into Her Face,"In court today, Amber has accused Johnny of using her phone as a weapon, TMZ reports. The actress “claims Depp smashed his iPhone on her face”, and that “the pic was taken shortly after she was allegedly struck”. As you can see in the pic, the red bruising around Amber’s eye and cheek is shaped like a rectangle, and is roughly the size of an imprint that an iPhone would leave behind.

Along with her lawyer, Samantha Spector, Amber showed up in court today to ask for a temporary restraining order against Johnny. Most shocking of all is that Amber is claiming this alleged abuse has happened multiple times throughout their relationship since they were married in 2015.

Amber is also claiming that Johnny “offered her money to stay quiet” after he allegedly hit her, and now she’s filing for the restraining order on the grounds that there’s “an immediate threat of harm”. Meanwhile, Johnny has been traveling out of town since Wednesday to promote his new movie, Alice Through The Looking Glass, which opens today. As a result, Johnny was represented by Laura Wassar during Amber’s court appearance.

Keep checking back to HollywoodLife.com for up-to-the-minute details as this story develops.

Stream music, completely unlimited and ad-free, RIGHT HERE

HollywoodLifers, are you proud of Amber for coming forward and standing up for herself in this horrible situation?

More Johnny & Amber News:
 Johnny Depp: Amber Heard's Lesbian Friends Put Marriage ‘On The Rocks’ -- Report
 Johnny Depp Disses Amber Heard In Statement : I Hope 'Short Marriage' Is 'Resolved Quickly'
 Johnny Depp & Amber Heard: His Emotional Spirals & Late Nights Out Destroyed Marriage",PT1M18S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,120,0,1,,,,1,
youtube#video,hkz_zTub3i4BeoDvr1sANvMOkzw,N8GxgTSU2b4,2020-09-15T19:13:37Z,UC7doaS85UES9yIPsMrvIWnA,What Happend? Between AMBER HEARD & JOHNNY DEPP? | Sarcasm,"What Happend? Between AMBER HEARD & JOHNNY DEPP? | Sarcasm

Amber Heard has carved out an impressive onscreen career, but you're likely to also know the actress from her personal life, which has often become tabloid fodder. Here are some things you may not know about Amber Heard's real life.

Heard and her estranged husband Johnny Depp met in 2012 on the set of The Rum Diary and wed in 2015. By May 2016, Heard had filed for divorce and accused him of domestic abuse. Heard wrote in the declaration,

""During the entirety of our relationship, Johnny has been verbally and physically abusive to me. I endured excessive emotional, verbal and physical abuse from Johnny, which has included angry, hostile, humiliating and threatening assaults to me whenever I questioned his authority or disagreed with him."" 

Heard submitted a photo depicting her with a bruised face. She claimed the injury was caused by Depp striking her with his phone. She told the court,

""I live in fear that Johnny will return to [our house] unannounced to terrorize me, physically and emotionally.""

The police found no evidence of an assault when responding to a domestic dispute at the couple's home in May 2016, and Heard declined to file a criminal report. Depp's attorney told the court,

""[Heard is] attempting to secure a premature financial resolution by alleging abuse. [...] Johnny cannot protect himself or Amber from media scrutiny."" Keep watching to learn how Amber Heard's Double Life Is Completely Exposed!

©️""Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.""

COPYRIGHT LAWS AND PROPOSALS:
Act of 4 February 1994 on Copyright and Related Rights This video is fair use under U.S. copyright law because it is noncommercial and transformative in nature, uses no more of the original than necessary, and has no negative effect on the market for the original.
#AmberHeard #JOHNNYDEPP

🔔Subscribe & Turn On Notifications for more Sarcasm Videos!

KEEP SHARING TO INSPIRE OTHER PEOPLE.

🧿 https://www.sarcasm.co/
our Instagram account: 
▶ https://www.instagram.com/Sarcastic_us/
our Twitter account: 
▶ https://mobile.twitter.com/Sarcastic_us",https://i.ytimg.com/vi/N8GxgTSU2b4/default.jpg,120,90,https://i.ytimg.com/vi/N8GxgTSU2b4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/N8GxgTSU2b4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/N8GxgTSU2b4/sddefault.jpg,640.0,480.0,Sarcasm,"['listening to tape', 'pineapple express', 'abusehasnogender', 'johnny depp week one', 'tape', 'audio tape', 'defense team', 'entertainment', 'rich and famous', 'charity donation', 'batman gotham high', 'entertainment news', 'divorce settlement', 'amber heard audio tape', 'johnny depp defamation', 'defamation johnny depp', 'amber heard and johnny depp', 'domestic violence charges', 'johnny depp and amber heard', 'johnny depp defamation lawsuit', 'amber heard and johnny depp fight', 'amber heard abusive to johnny depp']",24,none,What Happend? Between AMBER HEARD & JOHNNY DEPP? | Sarcasm,"What Happend? Between AMBER HEARD & JOHNNY DEPP? | Sarcasm

Amber Heard has carved out an impressive onscreen career, but you're likely to also know the actress from her personal life, which has often become tabloid fodder. Here are some things you may not know about Amber Heard's real life.

Heard and her estranged husband Johnny Depp met in 2012 on the set of The Rum Diary and wed in 2015. By May 2016, Heard had filed for divorce and accused him of domestic abuse. Heard wrote in the declaration,

""During the entirety of our relationship, Johnny has been verbally and physically abusive to me. I endured excessive emotional, verbal and physical abuse from Johnny, which has included angry, hostile, humiliating and threatening assaults to me whenever I questioned his authority or disagreed with him."" 

Heard submitted a photo depicting her with a bruised face. She claimed the injury was caused by Depp striking her with his phone. She told the court,

""I live in fear that Johnny will return to [our house] unannounced to terrorize me, physically and emotionally.""

The police found no evidence of an assault when responding to a domestic dispute at the couple's home in May 2016, and Heard declined to file a criminal report. Depp's attorney told the court,

""[Heard is] attempting to secure a premature financial resolution by alleging abuse. [...] Johnny cannot protect himself or Amber from media scrutiny."" Keep watching to learn how Amber Heard's Double Life Is Completely Exposed!

©️""Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.""

COPYRIGHT LAWS AND PROPOSALS:
Act of 4 February 1994 on Copyright and Related Rights This video is fair use under U.S. copyright law because it is noncommercial and transformative in nature, uses no more of the original than necessary, and has no negative effect on the market for the original.
#AmberHeard #JOHNNYDEPP

🔔Subscribe & Turn On Notifications for more Sarcasm Videos!

KEEP SHARING TO INSPIRE OTHER PEOPLE.

🧿 https://www.sarcasm.co/
our Instagram account: 
▶ https://www.instagram.com/Sarcastic_us/
our Twitter account: 
▶ https://mobile.twitter.com/Sarcastic_us",PT4M21S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1024,0,0,https://i.ytimg.com/vi/N8GxgTSU2b4/maxresdefault.jpg,1280.0,720.0,1,en-US
youtube#video,cHNpL9JRxkbQRqL4sz7KV6ZlrpU,OjBaoE3o-YY,2021-02-24T15:53:49Z,UC-9_FnO5MRgWmqvodnZzPZw,The Female Narcissist,"The female narcissist is just as cunning and manipulative as their male counterpart. Examples using Johnny Depp and Amber Heard’s marriage and divorce.


30 Red Flags of Narcissism 

https://youtu.be/Pqt-5_na-ik

Narcissists and Gaslighting

https://youtu.be/eMGJjNFQBxo

Facebook:  https://www.facebook.com/EmpressofLight2/

#domesticabuse #narcissisticabuse #femalenarcissist #johnnydeppamberheard",https://i.ytimg.com/vi/OjBaoE3o-YY/default.jpg,120,90,https://i.ytimg.com/vi/OjBaoE3o-YY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/OjBaoE3o-YY/hqdefault.jpg,480,360,https://i.ytimg.com/vi/OjBaoE3o-YY/sddefault.jpg,640.0,480.0,Empress of Light,"['female narcissist', 'narcissism', 'spiritual guidance', 'survivors of narcissism', 'victims of narcissist abuse', 'thrivers of narcissism', 'help for narcissism victims', 'Johnny Depp', 'Amber Heard', 'Narcissistic abuse', 'Word salad', 'Gaslighting', 'Narcissist projection and deflection']",27,none,The Female Narcissist,"The female narcissist is just as cunning and manipulative as their male counterpart. Examples using Johnny Depp and Amber Heard’s marriage and divorce.


30 Red Flags of Narcissism 

https://youtu.be/Pqt-5_na-ik

Narcissists and Gaslighting

https://youtu.be/eMGJjNFQBxo

Facebook:  https://www.facebook.com/EmpressofLight2/

#domesticabuse #narcissisticabuse #femalenarcissist #johnnydeppamberheard",PT7M29S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,548,0,5,https://i.ytimg.com/vi/OjBaoE3o-YY/maxresdefault.jpg,1280.0,720.0,23,
youtube#video,AkuFrgxTQnU0F37MWvuemOWmRlU,PYRZmfB-2WI,2016-06-02T17:31:52Z,UC9k-yiEpRHMNVOnOi_aQK8w,Johnny Depp Is Apparently Partying In Europe Amid Amber Heard Abuse Claims,"The rocky divorce battle between Johnny Depp and Amber Heard has shown no signs of letting up, as newly-revealed text messages allegedly show abuse dating back to 2014. Meanwhile, Depp has been photographed in Europe apparently partying hard. The Daily Mail has obtained photographs of Depp from Wednesday night in Denmark getting into a scuffle with his own bodyguard after a night of boozing with his band, The Hollywood Vampires, and fans. #InsideEdition",https://i.ytimg.com/vi/PYRZmfB-2WI/default.jpg,120,90,https://i.ytimg.com/vi/PYRZmfB-2WI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/PYRZmfB-2WI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/PYRZmfB-2WI/sddefault.jpg,640.0,480.0,Inside Edition,"['johnny depp', 'abused', 'defense', 'inside_edition']",25,none,Johnny Depp Is Apparently Partying In Europe Amid Amber Heard Abuse Claims,"The rocky divorce battle between Johnny Depp and Amber Heard has shown no signs of letting up, as newly-revealed text messages allegedly show abuse dating back to 2014. Meanwhile, Depp has been photographed in Europe apparently partying hard. The Daily Mail has obtained photographs of Depp from Wednesday night in Denmark getting into a scuffle with his own bodyguard after a night of boozing with his band, The Hollywood Vampires, and fans. #InsideEdition",PT1M14S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,44476,0,41,,,,174,
youtube#video,yXfBwonI6lFuL7Scz5CGDDXzR9k,v8--8qjT_Xo,2021-01-08T21:14:32Z,UCjKNc-woAlnxt0H-yJ8RXJg,Amber Heard BEGGING Johnny Depp To STOP Fighting / AUDIO,"This video is a clip which was excluded from the cut-up, edited and leaked recording by Johnny Depp’s team in January.  The full version was recorded by Johnny Depp and Amber Heard during their marriage (September 2015). The full recording is being used as evidence in the Johnny Depp v The Sun UK libel case. Depp decided to sue The Sun for publishing an article where they brand him a ‘wife-beater’, for abusing his then wife, Amber Heard. 

When the cut-up/edited 46 minute version leaked in January by Depp’s team, it was made to portray a certain narrative and was used as propaganda. It was leaked 6 months before the trial began and used to lead people and potential jurors to believe that it was somehow an official piece of evidence, which it was not. It was incomplete.

If you’d like to read the official case documents, they can be found here: https://www.nickwallis.com/depp-trial

This recording was obtained through CourtTV and can be found here: https://www.courttv.com/news/amber-heard-witness-statements-depp-blamed-the-monster-for-physical-verbal-abuse/

You can listen to the FULL recording here: https://youtu.be/k9pbrBmHI58

Comments are disabled to combat abuse.",https://i.ytimg.com/vi/v8--8qjT_Xo/default.jpg,120,90,https://i.ytimg.com/vi/v8--8qjT_Xo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/v8--8qjT_Xo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/v8--8qjT_Xo/sddefault.jpg,640.0,480.0,Incredibly Incredible,"['Johnny Depp', 'Amber heard', 'Audio recording', 'Tape', 'Full', 'Abuse', 'Domestic violence', 'Drugs', 'Alcohol', 'The sun', 'Photos', 'Court evidence', 'Lawsuit', 'Lawyer', 'Relationship', 'Celebrity', 'Exclusive', 'Released', 'News', 'Adam Waldman', 'Me too', 'Time’s up', 'Believe women', 'Allegations', 'Drama', 'Guilty', 'Innocent', 'Celebrities', 'Famous', 'Abuser', 'ACLU', 'Un', 'United Nations', 'Divorce', 'Marriage', 'Donations', 'Proof', 'Hollywood', 'Fantastic beasts', 'Aquaman', 'Warner bros', 'Incredibly average', 'Fight', 'Injury']",22,none,Amber Heard BEGGING Johnny Depp To STOP Fighting / AUDIO,"This video is a clip which was excluded from the cut-up, edited and leaked recording by Johnny Depp’s team in January.  The full version was recorded by Johnny Depp and Amber Heard during their marriage (September 2015). The full recording is being used as evidence in the Johnny Depp v The Sun UK libel case. Depp decided to sue The Sun for publishing an article where they brand him a ‘wife-beater’, for abusing his then wife, Amber Heard. 

When the cut-up/edited 46 minute version leaked in January by Depp’s team, it was made to portray a certain narrative and was used as propaganda. It was leaked 6 months before the trial began and used to lead people and potential jurors to believe that it was somehow an official piece of evidence, which it was not. It was incomplete.

If you’d like to read the official case documents, they can be found here: https://www.nickwallis.com/depp-trial

This recording was obtained through CourtTV and can be found here: https://www.courttv.com/news/amber-heard-witness-statements-depp-blamed-the-monster-for-physical-verbal-abuse/

You can listen to the FULL recording here: https://youtu.be/k9pbrBmHI58

Comments are disabled to combat abuse.",PT1M3S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1283,0,,https://i.ytimg.com/vi/v8--8qjT_Xo/maxresdefault.jpg,1280.0,720.0,,
youtube#video,gMl9Jfew5T68oRNnzith7ID9gfo,ZGt2TcYi81E,2021-07-18T19:00:18Z,UCM_jM5djmRJ45_sbevymBMA,Amber Heard Lied About Donating And Abuse #shorts,"Aesthetic Phone Cases By Bea:
https://bit.ly/casebybea

_____________________",https://i.ytimg.com/vi/ZGt2TcYi81E/default.jpg,120,90,https://i.ytimg.com/vi/ZGt2TcYi81E/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ZGt2TcYi81E/hqdefault.jpg,480,360,,,,Celeb Tea,,22,none,Amber Heard Lied About Donating And Abuse #shorts,"Aesthetic Phone Cases By Bea:
https://bit.ly/casebybea

_____________________",PT53S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1575,0,0,,,,75,
